Num	lon	lat
1	0	0
1	0.4488	0.027072
1	1.3464	0.027072
1	2.244	0.027072
1	3.1416	0.027072
1	4.0392	0.027072
1	4.9368	0.027072
1	5.8344	0.027072
1	0.069046	0.052411
1	0.55237	0.052411
1	1.0357	0.052411
1	1.519	0.052411
1	2.0023	0.052411
1	2.4857	0.052411
1	2.969	0.052411
1	3.4523	0.052411
1	3.9356	0.052411
1	4.4189	0.052411
1	4.9023	0.052411
1	5.3856	0.052411
1	5.8689	0.052411
1	6.2123	0.077146
1	0.25983	0.077146
1	0.59052	0.077146
1	0.92122	0.077146
1	1.2519	0.077146
1	1.5826	0.077146
1	1.9133	0.077146
1	2.244	0.077146
1	2.5747	0.077146
1	2.9054	0.077146
1	3.2361	0.077146
1	3.5668	0.077146
1	3.8975	0.077146
1	4.2282	0.077146
1	4.5589	0.077146
1	4.8895	0.077146
1	5.2202	0.077146
1	5.5509	0.077146
1	5.8816	0.077146
1	6.1296	0.10221
1	0.088124	0.10221
1	0.32979	0.10221
1	0.57145	0.10221
1	0.81311	0.10221
1	1.0548	0.10221
1	1.2964	0.10221
1	1.5381	0.10221
1	1.7798	0.10221
1	2.0214	0.10221
1	2.2631	0.10221
1	2.5047	0.10221
1	2.7464	0.10221
1	2.9881	0.10221
1	3.2297	0.10221
1	3.4714	0.10221
1	3.713	0.10221
1	3.9547	0.10221
1	4.1964	0.10221
1	4.438	0.10221
1	4.6797	0.10221
1	4.9213	0.10221
1	5.163	0.10221
1	5.4047	0.10221
1	5.6463	0.10221
1	5.888	0.10221
1	6.0946	0.12718
1	0.014067	0.12718
1	0.21675	0.12718
1	0.41943	0.12718
1	0.62212	0.12718
1	0.8248	0.12718
1	1.0275	0.12718
1	1.2302	0.12718
1	1.4329	0.12718
1	1.6355	0.12718
1	1.8382	0.12718
1	2.0409	0.12718
1	2.2436	0.12718
1	2.4463	0.12718
1	2.649	0.12718
1	2.8516	0.12718
1	3.0543	0.12718
1	3.257	0.12718
1	3.4597	0.12718
1	3.6624	0.12718
1	3.8651	0.12718
1	4.0677	0.12718
1	4.2704	0.12718
1	4.4731	0.12718
1	4.6758	0.12718
1	4.8785	0.12718
1	5.0812	0.12718
1	5.2838	0.12718
1	5.4865	0.12718
1	5.6892	0.12718
1	5.8919	0.12718
1	6.0599	0.15195
1	6.2252	0.15195
1	0.10741	0.15195
1	0.27276	0.15195
1	0.4381	0.15195
1	0.60345	0.15195
1	0.7688	0.15195
1	0.93414	0.15195
1	1.0995	0.15195
1	1.2648	0.15195
1	1.4302	0.15195
1	1.5955	0.15195
1	1.7609	0.15195
1	1.9262	0.15195
1	2.0916	0.15195
1	2.2569	0.15195
1	2.4223	0.15195
1	2.5876	0.15195
1	2.753	0.15195
1	2.9183	0.15195
1	3.0837	0.15195
1	3.249	0.15195
1	3.4143	0.15195
1	3.5797	0.15195
1	3.745	0.15195
1	3.9104	0.15195
1	4.0757	0.15195
1	4.2411	0.15195
1	4.4064	0.15195
1	4.5718	0.15195
1	4.7371	0.15195
1	4.9025	0.15195
1	5.0678	0.15195
1	5.2332	0.15195
1	5.3985	0.15195
1	5.5639	0.15195
1	5.7292	0.15195
1	5.8946	0.15195
1	6.036	0.17726
1	6.1756	0.17726
1	0.032083	0.17726
1	0.17171	0.17726
1	0.31134	0.17726
1	0.45096	0.17726
1	0.59059	0.17726
