num	lon	lat
1	0	0
1	0.4488	0.55341
1	1.3464	0.55341
1	2.244	0.55341
1	3.1416	0.55341
1	4.0392	0.55341
1	4.9368	0.55341
1	5.8344	0.55341
1	0.1632	1.0757
1	0.7344	1.0757
1	1.3056	1.0757
1	1.8768	1.0757
1	2.448	1.0757
1	3.0192	1.0757
1	3.5904	1.0757
1	4.1616	1.0757
1	4.7328	1.0757
1	5.304	1.0757
1	5.8752	1.0757
1	0.1394	1.5708
1	0.663	1.5708
1	1.1866	1.5708
1	1.7102	1.5708
1	2.2338	1.5708
1	2.7574	1.5708
1	3.281	1.5708
1	3.8046	1.5708
1	4.3282	1.5708
1	4.8518	1.5708
1	5.3754	1.5708
1	5.899	1.5708
1	0.2108	2.0659
1	0.782	2.0659
1	1.3532	2.0659
1	1.9244	2.0659
1	2.4956	2.0659
1	3.0668	2.0659
1	3.638	2.0659
1	4.2092	2.0659
1	4.7804	2.0659
1	5.3516	2.0659
1	5.9228	2.0659
1	0.578	2.5882
1	1.4756	2.5882
1	2.3732	2.5882
1	3.2708	2.5882
1	4.1684	2.5882
1	5.066	2.5882
1	5.9636	2.5882
1	0	3.1416
