num	lon	lat
1	0	0
1	0.4488	0.054153
1	1.3464	0.054153
1	2.244	0.054153
1	3.1416	0.054153
1	4.0392	0.054153
1	4.9368	0.054153
1	5.8344	0.054153
1	0.1122	0.1033
1	0.6358	0.1033
1	1.1594	0.1033
1	1.683	0.1033
1	2.2066	0.1033
1	2.7302	0.1033
1	3.2538	0.1033
1	3.7774	0.1033
1	4.301	0.1033
1	4.8246	0.1033
1	5.3482	0.1033
1	5.8718	0.1033
1	6.2163	0.15172
1	0.26377	0.15172
1	0.59446	0.15172
1	0.92516	0.15172
1	1.2558	0.15172
1	1.5865	0.15172
1	1.9172	0.15172
1	2.2479	0.15172
1	2.5786	0.15172
1	2.9093	0.15172
1	3.24	0.15172
1	3.5707	0.15172
1	3.9014	0.15172
1	4.2321	0.15172
1	4.5628	0.15172
1	4.8935	0.15172
1	5.2242	0.15172
1	5.5549	0.15172
1	5.8856	0.15172
1	6.1435	0.20181
1	0.11165	0.20181
1	0.36298	0.20181
1	0.6143	0.20181
1	0.86563	0.20181
1	1.117	0.20181
1	1.3683	0.20181
1	1.6196	0.20181
1	1.8709	0.20181
1	2.1223	0.20181
1	2.3736	0.20181
1	2.6249	0.20181
1	2.8763	0.20181
1	3.1276	0.20181
1	3.3789	0.20181
1	3.6302	0.20181
1	3.8816	0.20181
1	4.1329	0.20181
1	4.3842	0.20181
1	4.6355	0.20181
1	4.8869	0.20181
1	5.1382	0.20181
1	5.3895	0.20181
1	5.6409	0.20181
1	5.8922	0.20181
1	6.0989	0.25166
1	0.018414	0.25166
1	0.2211	0.25166
1	0.42378	0.25166
1	0.62646	0.25166
1	0.82915	0.25166
1	1.0318	0.25166
1	1.2345	0.25166
1	1.4372	0.25166
1	1.6399	0.25166
1	1.8426	0.25166
1	2.0452	0.25166
1	2.2479	0.25166
1	2.4506	0.25166
1	2.6533	0.25166
1	2.856	0.25166
1	3.0587	0.25166
1	3.2613	0.25166
1	3.464	0.25166
1	3.6667	0.25166
1	3.8694	0.25166
1	4.0721	0.25166
1	4.2748	0.25166
1	4.4774	0.25166
1	4.6801	0.25166
1	4.8828	0.25166
1	5.0855	0.25166
1	5.2882	0.25166
1	5.4909	0.25166
1	5.6935	0.25166
1	5.8962	0.25166
1	6.0688	0.30149
1	6.2386	0.30149
1	0.12523	0.30149
1	0.29505	0.30149
1	0.46487	0.30149
1	0.63468	0.30149
1	0.8045	0.30149
1	0.97431	0.30149
1	1.1441	0.30149
1	1.3139	0.30149
1	1.4838	0.30149
1	1.6536	0.30149
1	1.8234	0.30149
1	1.9932	0.30149
1	2.163	0.30149
1	2.3328	0.30149
1	2.5027	0.30149
1	2.6725	0.30149
1	2.8423	0.30149
1	3.0121	0.30149
1	3.1819	0.30149
1	3.3517	0.30149
1	3.5216	0.30149
1	3.6914	0.30149
1	3.8612	0.30149
1	4.031	0.30149
1	4.2008	0.30149
1	4.3706	0.30149
1	4.5404	0.30149
1	4.7103	0.30149
1	4.8801	0.30149
1	5.0499	0.30149
1	5.2197	0.30149
1	5.3895	0.30149
1	5.5593	0.30149
1	5.7292	0.30149
1	5.899	0.30149
1	6.0471	0.3514
1	6.1932	0.3514
1	0.056123	0.3514
1	0.20224	0.3514
1	0.34836	0.3514
1	0.49448	0.3514
1	0.64061	0.3514
1	0.78673	0.3514
1	0.93285	0.3514
1	1.079	0.3514
1	1.2251	0.3514
1	1.3712	0.3514
1	1.5173	0.3514
1	1.6634	0.3514
1	1.8096	0.3514
1	1.9557	0.3514
1	2.1018	0.3514
1	2.2479	0.3514
1	2.3941	0.3514
1	2.5402	0.3514
1	2.6863	0.3514
1	2.8324	0.3514
1	2.9785	0.3514
1	3.1247	0.3514
1	3.2708	0.3514
1	3.4169	0.3514
1	3.563	0.3514
1	3.7091	0.3514
1	3.8553	0.3514
1	4.0014	0.3514
1	4.1475	0.3514
1	4.2936	0.3514
1	4.4397	0.3514
1	4.5859	0.3514
1	4.732	0.3514
1	4.8781	0.3514
1	5.0242	0.3514
1	5.1703	0.3514
1	5.3165	0.3514
1	5.4626	0.3514
1	5.6087	0.3514
1	5.7548	0.3514
1	5.9009	0.3514
1	6.0307	0.40146
1	6.1589	0.40146
1	0.0039368	0.40146
1	0.13217	0.40146
1	0.26039	0.40146
1	0.38862	0.40146
1	0.51685	0.40146
1	0.64508	0.40146
1	0.77331	0.40146
1	0.90153	0.40146
1	1.0298	0.40146
1	1.158	0.40146
1	1.2862	0.40146
1	1.4144	0.40146
1	1.5427	0.40146
1	1.6709	0.40146
1	1.7991	0.40146
1	1.9274	0.40146
1	2.0556	0.40146
1	2.1838	0.40146
1	2.312	0.40146
1	2.4403	0.40146
1	2.5685	0.40146
1	2.6967	0.40146
1	2.825	0.40146
1	2.9532	0.40146
1	3.0814	0.40146
1	3.2096	0.40146
1	3.3379	0.40146
1	3.4661	0.40146
1	3.5943	0.40146
1	3.7226	0.40146
1	3.8508	0.40146
1	3.979	0.40146
1	4.1072	0.40146
1	4.2355	0.40146
1	4.3637	0.40146
1	4.4919	0.40146
1	4.6202	0.40146
1	4.7484	0.40146
1	4.8766	0.40146
1	5.0048	0.40146
1	5.1331	0.40146
1	5.2613	0.40146
